start,end,label,type
0.0,16.0,Intro ( Instrumental ),instrumental
16.0,50.0,Pallavi,vocals
50.0,56.0,Interlude 1 ( Instrumental ),instrumental
56.0,75.0,Pallavi,vocals
75.0,110.0,Interlude 2 ( Instrumental ),instrumental
110.0,154.0,Charanam 1,vocals
154.0,144.0,Interlude 3 ( Instrumental ),instrumental
174.0,179.0,Pallavi ( Repeat ),vocals
179.0,186.0,Interlude 4 ( Instrumental ),instrumental
186.0,224.0,Charanam 2,vocals
224.0,230.0,Pallavi ( Repeat ),vocals
230.0,239.0,Interlude 5 ( Instrumental ),instrumental
239.0,266.0,Pallavi ( Final ),vocals
